"time","St"
0,1
0,1
0.008,0.9984375
0.032,0.9984375
0.04,0.9953125
0.056,0.9953125
0.064,0.990625
0.184,0.990625
0.192,0.9890625
0.2,0.9890625
0.208,0.9875
0.36,0.9875
0.368,0.9859375
0.832,0.9859375
0.84,0.98125
0.944,0.98125
0.952,0.9765625
0.952,0.9765625
0.96,0.975
0.96,0.975
0.968,0.9734375
1.112,0.9734375
1.12,0.9671875
1.24,0.9671875
1.248,0.965625
1.352,0.965625
1.36,0.9640625
1.36,0.9640625
1.368,0.9625
1.368,0.9625
1.376,0.959375
1.376,0.959375
1.384,0.9515625
1.496,0.9515625
1.504,0.95
1.632,0.95
1.64,0.9484375
1.64,0.9484375
1.648,0.9453125
1.784,0.9453125
1.792,0.934375
2.048,0.934375
2.056,0.93125
2.208,0.93125
2.216,0.9296875
2.216,0.9296875
2.224,0.928125
2.328,0.928125
2.336,0.925
2.336,0.925
2.344,0.9234375
2.344,0.9234375
2.352,0.915625
2.448,0.915625
2.456,0.9140625
2.456,0.9140625
2.464,0.9125
2.544,0.9125
2.552,0.9046875
2.552,0.9046875
2.56,0.903125
2.56,0.903125
2.568,0.9015625
2.568,0.9015625
2.576,0.890625
2.64,0.890625
2.648,0.8890625
2.648,0.8890625
2.656,0.8875
2.656,0.8875
2.664,0.8859375
2.88,0.8859375
2.888,0.875
2.888,0.875
2.896,0.8734375
2.896,0.8734375
2.904,0.8703125
3.4,0.8703125
3.408,0.8671875
3.528,0.8671875
3.536,0.865625
3.536,0.865625
3.544,0.8640625
3.656,0.8640625
3.664,0.8609375
3.664,0.8609375
3.672,0.859375
3.672,0.859375
3.68,0.85625
3.792,0.85625
3.8,0.8546875
3.8,0.8546875
3.808,0.853125
3.808,0.853125
3.816,0.8515625
4.48,0.8515625
