"","gamma0","gamma1","gamma2","gamma3","gamma4","age_Dx","I(age_Dx^2)","lineageT","cytogenetics_catFavorable","cytogenetics_catNeutral","cytogenetics_catUnfavorable","REL1.t"
"gamma0",11.8458150286912,-2.67704005239042,-0.469703816619286,0.800587846970618,-0.589349304006553,-0.24756958974977,0.015315792956876,-0.197662657458849,-1.17679450700628,-1.31120622305633,-1.63363773694653,-0.000172196202130121
"gamma1",-2.67704005239044,0.736276137925924,0.142614444977065,-0.271534125260994,0.212330848083431,0.0108222968139433,-0.000716595625987249,-0.0277375545260369,0.0121004264777108,0.0183691119833747,0.0257021839319249,0.000000777803121358654
"gamma2",-0.469703816619299,0.142614444977063,0.0426036729003811,-0.12546929156531,0.120472445757235,-0.00102255297845729,0.0000574817218755762,0.000105846574438357,-0.0164050128557009,-0.0144379569407111,0.00211092056439268,-0.00000425987771730471
"gamma3",0.80058784697067,-0.271534125260983,-0.125469291565309,0.543461608484354,-0.593607365700357,0.0292728448076021,-0.00184515006112809,-0.13062672884754,0.141326343896332,0.136527108150144,0.0236889440197214,0.0000444265957837722
"gamma4",-0.589349304006604,0.212330848083417,0.120472445757233,-0.593607365700355,0.670018028798183,-0.03880544814798,0.00245791848954375,0.183223882807098,-0.171305967416139,-0.166759434327138,-0.0331942893702576,-0.0000564182088009787
"age_Dx",-0.247569589749751,0.0108222968139374,-0.00102255297846183,0.0292728448076253,-0.0388054481480063,0.074180490245592,-0.00495229288788705,-0.00633309498814062,0.0679672994417889,0.0835268086763342,0.150743763001976,-0.00000143244836899055
"I(age_Dx^2)",0.0153157929568745,-0.000716595625986781,0.0000574817218759147,-0.0018451500611298,0.00245791848954568,-0.00495229288788707,0.000367891557960215,0.000282132302433746,-0.00439224577474235,-0.00547897505925069,-0.00962937734115323,0.000000256560786913553
"lineageT",-0.197662657458878,-0.0277375545260364,0.000105846574437514,-0.130626728847535,0.183223882807093,-0.00633309498813482,0.000282132302433341,1.03425197735648,-0.191803854693791,-0.303615740577418,0.0656704265623753,0.000083841326946902
"cytogenetics_catFavorable",-1.17679450700621,0.0121004264776947,-0.0164050128557102,0.141326343896376,-0.171305967416189,0.0679672994417858,-0.00439224577474209,-0.191803854693804,1.35387288100259,1.16566233885329,1.11971665051292,-0.00000689681425646079
"cytogenetics_catNeutral",-1.31120622305625,0.0183691119833555,-0.014437956940722,0.136527108150195,-0.166759434327195,0.0835268086763318,-0.00547897505925048,-0.303615740577432,1.16566233885329,1.40551109630204,1.1785250688262,0.0000449463426322909
"cytogenetics_catUnfavorable",-1.63363773694647,0.0257021839319024,0.00211092056437772,0.023688944019795,-0.0331942893703404,0.15074376300198,-0.00962937734115348,0.0656704265623565,1.11971665051294,1.17852506882622,1.85178937031183,0.0000632177726780082
"REL1.t",-0.0001721962021301,0.000000777803121356264,-0.00000425987771730444,0.0000444265957837692,-0.0000564182088009751,-0.00000143244836899328,0.000000256560786913745,0.0000838413269469021,-0.00000689681425646671,0.0000449463426322845,0.0000632177726779999,0.000000149241902237813
