"est","lcl","ucl","years","arm","outcome","est_chr"
0.988666666666667,0.9721825,0.994054166666666,1,"BSC","OS","98.87 (97.22, 99.41)"
0.988866666666667,0.972565,0.994168333333333,1,"Blina","OS","98.89 (97.26, 99.42)"
0.97885,0.95782,0.9866,2,"BSC","OS","97.89 (95.78, 98.66)"
0.980733333333333,0.959710833333333,0.987966666666667,2,"Blina","OS","98.07 (95.97, 98.8)"
0.970466666666667,0.946926666666666,0.980655833333333,3,"BSC","OS","97.05 (94.69, 98.07)"
0.9755,0.953009166666667,0.983950833333334,3,"Blina","OS","97.55 (95.3, 98.4)"
0.962483333333333,0.9367475,0.9751525,4,"BSC","OS","96.25 (93.67, 97.52)"
0.971816666666667,0.947735833333333,0.981233333333334,4,"Blina","OS","97.18 (94.77, 98.12)"
0.955283333333333,0.9263425,0.969936666666667,5,"BSC","OS","95.53 (92.63, 96.99)"
0.968883333333333,0.944364999999999,0.979668333333333,5,"Blina","OS","96.89 (94.44, 97.97)"
0.94875,0.9172825,0.965935,6,"BSC","OS","94.88 (91.73, 96.59)"
0.966466666666666,0.941858333333333,0.977766666666667,6,"Blina","OS","96.65 (94.19, 97.78)"
0.943983333333334,0.912453333333334,0.963143333333333,7,"BSC","OS","94.4 (91.25, 96.31)"
0.96425,0.940035833333333,0.976417500000001,7,"Blina","OS","96.43 (94, 97.64)"
0.940416666666667,0.90792,0.960538333333334,8,"BSC","OS","94.04 (90.79, 96.05)"
0.962383333333334,0.938193333333333,0.975106666666667,8,"Blina","OS","96.24 (93.82, 97.51)"
0.937533333333333,0.9049725,0.958585833333334,9,"BSC","OS","93.75 (90.5, 95.86)"
0.960833333333333,0.9357975,0.973994166666667,9,"Blina","OS","96.08 (93.58, 97.4)"
0.93545,0.90198,0.957089166666667,10,"BSC","OS","93.54 (90.2, 95.71)"
0.959233333333334,0.933210833333334,0.972885833333334,10,"Blina","OS","95.92 (93.32, 97.29)"
0.969366666666667,0.94809,0.980420833333333,1,"BSC","PFS","96.94 (94.81, 98.04)"
0.975333333333333,0.957049166666667,0.984838333333333,1,"Blina","PFS","97.53 (95.7, 98.48)"
0.939283333333333,0.912565,0.958466666666667,2,"BSC","PFS","93.93 (91.26, 95.85)"
0.960266666666667,0.935170833333333,0.9742,2,"Blina","PFS","96.03 (93.52, 97.42)"
0.913266666666667,0.879610833333333,0.940836666666667,3,"BSC","PFS","91.33 (87.96, 94.08)"
0.952266666666667,0.92374,0.969005,3,"Blina","PFS","95.23 (92.37, 96.9)"
0.88835,0.849360833333333,0.922371666666667,4,"BSC","PFS","88.83 (84.94, 92.24)"
0.94555,0.911624166666667,0.964454166666667,4,"Blina","PFS","94.56 (91.16, 96.45)"
0.871333333333333,0.8253825,0.909068333333333,5,"BSC","PFS","87.13 (82.54, 90.91)"
0.9411,0.904546666666667,0.96144,5,"Blina","PFS","94.11 (90.45, 96.14)"
0.860733333333334,0.813425833333333,0.901901666666667,6,"BSC","PFS","86.07 (81.34, 90.19)"
0.936333333333333,0.898633333333333,0.9582,6,"Blina","PFS","93.63 (89.86, 95.82)"
0.854566666666667,0.804945833333333,0.896508333333333,7,"BSC","PFS","85.46 (80.49, 89.65)"
0.932183333333333,0.893764166666666,0.95487,7,"Blina","PFS","93.22 (89.38, 95.49)"
0.850016666666667,0.7999575,0.893105,8,"BSC","PFS","85 (80, 89.31)"
0.928616666666667,0.889598333333333,0.952238333333334,8,"Blina","PFS","92.86 (88.96, 95.22)"
0.846966666666666,0.795874166666666,0.890090833333333,9,"BSC","PFS","84.7 (79.59, 89.01)"
0.925666666666667,0.8866825,0.950035,9,"Blina","PFS","92.57 (88.67, 95)"
0.844883333333334,0.791246666666666,0.888851666666667,10,"BSC","PFS","84.49 (79.12, 88.89)"
0.923083333333333,0.882948333333334,0.9485175,10,"Blina","PFS","92.31 (88.29, 94.85)"
